Файлы с максимумом в m=0 (всего: 369)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек   
316  gem_glass64_J34_4.dat  key=-80.0  Fr=16.0    N=15
317  gem_glass64_J34_6.dat  key=-86.0  Fr=13.0    N=11
318  gem_glass64_J34_7.dat  key=-78.0  Fr=17.0    N=31
319  gem_glass64_J34_9.dat  key=-80.0  Fr=16.0    N=15
320  gem_glass64_J36_2.dat  key=-78.0  Fr=17.0    N=15
321  gem_glass64_J38_1.dat  key=-78.0  Fr=17.0    N=29
322  gem_glass64_J38_2.dat  key=-78.0  Fr=17.0    N=15
323  gem_glass64_J38_4.dat  key=-80.0  Fr=16.0    N=15
324  gem_glass64_J38_6.dat  key=-82.0  Fr=15.0    N=17
325  gem_glass64_J38_9.dat  key=-86.0  Fr=13.0    N=13
326  gem_glass64_J40_1.dat  key=-80.0  Fr=16.0    N=21
327  gem_glass64_J40_2.dat  key=-86.0  Fr=13.0    N=17
328  gem_glass64_J40_6.dat  key=-82.0  Fr=15.0    N=23
329  gem_glass64_J40_9.dat  key=-88.0  Fr=12.0    N=5
330  gem_glass64_J42_2.dat  key=-90.0  Fr=11.0    N=3
331  gem_glass64_J42_8.dat  key=-82.0  Fr=15.0    N=15
332  gem_glass64_J42_9.dat  key=-80.0  Fr=16.0    N=19
333  gem_glass64_J44_5.dat  key=-82.0  Fr=15.0    N=9
334  gem_glass64_J46_0.dat  key=-84.0  Fr=14.0    N=11
335  gem_glass64_J46_2.dat  key=-86.0  Fr=13.0    N=7
336  gem_glass64_J46_7.dat  key=-82.0  Fr=15.0    N=33
337  gem_glass64_J48_1.dat  key=-72.0  Fr=20.0    N=33
338  gem_glass64_J48_5.dat  key=-82.0  Fr=15.0    N=21
339  gem_glass64_J4_1.dat  key=-76.0  Fr=18.0    N=7
340  gem_glass64_J4_8.dat  key=-80.0  Fr=16.0    N=13
341  gem_glass64_J50_1.dat  key=-76.0  Fr=18.0    N=47
342  gem_glass64_J50_3.dat  key=-82.0  Fr=15.0    N=23
343  gem_glass64_J50_4.dat  key=-82.0  Fr=15.0    N=15
344  gem_glass64_J50_7.dat  key=-78.0  Fr=17.0    N=39
345  gem_glass64_J52_5.dat  key=-86.0  Fr=13.0    N=13
346  gem_glass64_J52_6.dat  key=-78.0  Fr=17.0    N=41
347  gem_glass64_J54_0.dat  key=-74.0  Fr=19.0    N=33
348  gem_glass64_J56_0.dat  key=-84.0  Fr=14.0    N=21
349  gem_glass64_J56_7.dat  key=-78.0  Fr=17.0    N=45
350  gem_glass64_J56_8.dat  key=-82.0  Fr=15.0    N=23
351  gem_glass64_J58_4.dat  key=-82.0  Fr=15.0    N=15
352  gem_glass64_J58_9.dat  key=-82.0  Fr=15.0    N=11
353  gem_glass64_J60_4.dat  key=-88.0  Fr=12.0    N=5
354  gem_glass64_J64_1.dat  key=-82.0  Fr=15.0    N=41
355  gem_glass64_J64_6.dat  key=-84.0  Fr=14.0    N=15
356  gem_glass64_J66_3.dat  key=-82.0  Fr=15.0    N=29
357  gem_glass64_J68_0.dat  key=-90.0  Fr=11.0    N=11
358  gem_glass64_J68_1.dat  key=-78.0  Fr=17.0    N=39
359  gem_glass64_J6_2.dat  key=-84.0  Fr=14.0    N=17
360  gem_glass64_J6_7.dat  key=-74.0  Fr=19.0    N=23
361  gem_glass64_J72_3.dat  key=-82.0  Fr=15.0    N=21
362  gem_glass64_J72_4.dat  key=-90.0  Fr=11.0    N=7
363  gem_glass64_J72_7.dat  key=-82.0  Fr=15.0    N=33
364  gem_glass64_J76_1.dat  key=-86.0  Fr=13.0    N=41
365  gem_glass64_J80_6.dat  key=-90.0  Fr=11.0    N=3
366  gem_glass64_J84_9.dat  key=-94.0  Fr=9.0     N=13
367  gem_glass64_J8_2.dat  key=-74.0  Fr=19.0    N=27
368  gem_glass64_J8_8.dat  key=-84.0  Fr=14.0    N=17
369  gem_glass64_J8_9.dat  key=-80.0  Fr=16.0    N=15
