Файлы с максимумом НЕ в m=0 (всего: 637)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек    m(max)    
248  gem_glass64_J104_0.dat  key=-104.0  Fr=4.0     N=6       m=-64.000
249  gem_glass64_J104_2.dat  key=-104.0  Fr=4.0     N=4       m=-64.000
250  gem_glass64_J104_4.dat  key=-104.0  Fr=4.0     N=8       m=-64.000
251  gem_glass64_J104_6.dat  key=-104.0  Fr=4.0     N=6       m=-64.000
252  gem_glass64_J104_7.dat  key=-106.0  Fr=3.0     N=4       m=-62.000
253  gem_glass64_J104_9.dat  key=-104.0  Fr=4.0     N=4       m=-64.000
254  gem_glass64_J106_5.dat  key=-106.0  Fr=3.0     N=4       m=-64.000
255  gem_glass64_J106_7.dat  key=-106.0  Fr=3.0     N=4       m=-64.000
256  gem_glass64_J106_8.dat  key=-106.0  Fr=3.0     N=4       m=-64.000
257  gem_glass64_J108_0.dat  key=-108.0  Fr=2.0     N=4       m=-64.000
258  gem_glass64_J108_1.dat  key=-108.0  Fr=2.0     N=4       m=-64.000
259  gem_glass64_J10_0.dat  key=-84.0  Fr=14.0    N=17      m=-12.000
260  gem_glass64_J10_1.dat  key=-78.0  Fr=17.0    N=21      m=-12.000
261  gem_glass64_J10_2.dat  key=-80.0  Fr=16.0    N=19      m=-12.000
262  gem_glass64_J10_4.dat  key=-90.0  Fr=11.0    N=6       m=-4.000
263  gem_glass64_J10_7.dat  key=-88.0  Fr=12.0    N=12      m=-6.000
264  gem_glass64_J110_4.dat  key=-110.0  Fr=1.0     N=4       m=-64.000
265  gem_glass64_J110_7.dat  key=-110.0  Fr=1.0     N=4       m=-64.000
266  gem_glass64_J12_0.dat  key=-82.0  Fr=15.0    N=25      m=-6.000
267  gem_glass64_J12_1.dat  key=-78.0  Fr=17.0    N=17      m=-6.000
268  gem_glass64_J12_2.dat  key=-86.0  Fr=13.0    N=19      m=-8.000
269  gem_glass64_J12_3.dat  key=-88.0  Fr=12.0    N=8       m=-6.000
270  gem_glass64_J12_5.dat  key=-76.0  Fr=18.0    N=25      m=-16.000
271  gem_glass64_J12_6.dat  key=-82.0  Fr=15.0    N=17      m=-10.000
272  gem_glass64_J12_7.dat  key=-74.0  Fr=19.0    N=23      m=-12.000
273  gem_glass64_J12_9.dat  key=-82.0  Fr=15.0    N=21      m=-10.000
274  gem_glass64_J14_0.dat  key=-86.0  Fr=13.0    N=6       m=-10.000
275  gem_glass64_J14_3.dat  key=-80.0  Fr=16.0    N=25      m=-4.000
276  gem_glass64_J14_4.dat  key=-84.0  Fr=14.0    N=13      m=-6.000
277  gem_glass64_J14_5.dat  key=-80.0  Fr=16.0    N=17      m=-2.000
278  gem_glass64_J14_7.dat  key=-80.0  Fr=16.0    N=19      m=-12.000
279  gem_glass64_J14_8.dat  key=-78.0  Fr=17.0    N=10      m=-8.000
280  gem_glass64_J14_9.dat  key=-90.0  Fr=11.0    N=11      m=-8.000
281  gem_glass64_J16_0.dat  key=-86.0  Fr=13.0    N=12      m=-12.000
282  gem_glass64_J16_2.dat  key=-78.0  Fr=17.0    N=23      m=-8.000
283  gem_glass64_J16_3.dat  key=-80.0  Fr=16.0    N=12      m=-8.000
284  gem_glass64_J16_7.dat  key=-80.0  Fr=16.0    N=29      m=-18.000
285  gem_glass64_J16_8.dat  key=-84.0  Fr=14.0    N=10      m=-8.000
286  gem_glass64_J18_0.dat  key=-86.0  Fr=13.0    N=6       m=-14.000
287  gem_glass64_J18_1.dat  key=-88.0  Fr=12.0    N=10      m=-4.000
288  gem_glass64_J18_3.dat  key=-78.0  Fr=17.0    N=21      m=-8.000
289  gem_glass64_J18_5.dat  key=-78.0  Fr=17.0    N=11      m=-2.000
290  gem_glass64_J18_6.dat  key=-84.0  Fr=14.0    N=10      m=-10.000
291  gem_glass64_J18_7.dat  key=-86.0  Fr=13.0    N=8       m=-6.000
292  gem_glass64_J18_8.dat  key=-84.0  Fr=14.0    N=18      m=-20.000
293  gem_glass64_J18_9.dat  key=-82.0  Fr=15.0    N=13      m=-2.000
294  gem_glass64_J20_0.dat  key=-78.0  Fr=17.0    N=11      m=-6.000
295  gem_glass64_J20_1.dat  key=-86.0  Fr=13.0    N=15      m=-2.000
296  gem_glass64_J20_2.dat  key=-88.0  Fr=12.0    N=6       m=-16.000
297  gem_glass64_J20_3.dat  key=-80.0  Fr=16.0    N=9       m=-2.000
298  gem_glass64_J20_5.dat  key=-78.0  Fr=17.0    N=15      m=-6.000
299  gem_glass64_J20_8.dat  key=-78.0  Fr=17.0    N=19      m=-8.000
300  gem_glass64_J20_9.dat  key=-84.0  Fr=14.0    N=15      m=-10.000
301  gem_glass64_J22_1.dat  key=-86.0  Fr=13.0    N=12      m=-10.000
302  gem_glass64_J22_3.dat  key=-78.0  Fr=17.0    N=12      m=-6.000
303  gem_glass64_J22_4.dat  key=-82.0  Fr=15.0    N=10      m=-8.000
304  gem_glass64_J22_5.dat  key=-84.0  Fr=14.0    N=14      m=-10.000
305  gem_glass64_J22_6.dat  key=-82.0  Fr=15.0    N=7       m=-14.000
306  gem_glass64_J22_7.dat  key=-86.0  Fr=13.0    N=17      m=-12.000
307  gem_glass64_J22_8.dat  key=-80.0  Fr=16.0    N=22      m=-16.000
308  gem_glass64_J24_1.dat  key=-84.0  Fr=14.0    N=14      m=-8.000
309  gem_glass64_J24_5.dat  key=-88.0  Fr=12.0    N=10      m=-22.000
310  gem_glass64_J24_6.dat  key=-78.0  Fr=17.0    N=15      m=-6.000
311  gem_glass64_J24_8.dat  key=-88.0  Fr=12.0    N=10      m=-14.000
312  gem_glass64_J26_0.dat  key=-86.0  Fr=13.0    N=4       m=-4.000
